exit_time,equity,net_pnl
2026-08-07 12:20:00+05:30,418803.9199999999,-286.96
2026-08-07 13:00:00+05:30,418382.54999999993,-421.37
2026-08-07 13:20:00+05:30,418089.7199999999,-292.83
2026-08-10 10:10:00+05:30,417712.86999999994,-376.85
2026-08-10 10:15:00+05:30,417410.19999999995,-302.67
2026-08-10 10:20:00+05:30,417210.3999999999,-199.8
2026-08-10 10:35:00+05:30,416944.2699999999,-266.13
2026-08-10 10:45:00+05:30,417072.2699999999,128.0
2026-08-10 10:50:00+05:30,417152.7799999999,80.51
2026-08-10 10:55:00+05:30,417024.0999999999,-128.68
2026-08-10 15:00:00+05:30,416975.4599999999,-48.64
